posicao_ranking,Artista,Musica,Observacao,prob_aparecer,prob_posicao_exata,posicao_prevista,forca_musica,dropout_score,streak_anos
393,Rush,Limelight,,0.3586392068271429,0.1228809088004838,217.78364701865877,0.5800000000000001,0.0,1
394,Thin Lizzy,The Boys Are Back in Town,,0.45540562174422894,0.15603608196622004,315.2042923363776,0.5800000000000001,0.12799999999999997,0
395,The Kinks,Lola,,0.4138530165706738,0.14179887145059691,274.4433620061849,0.51,0.24,0
396,The Rolling Stones,You Can't Always Get What You Want,,0.4410495967791013,0.15111726282738683,303.9212348277509,0.52,0.0,1
397,Johnny Rivers,Secret Agent Man,,0.42140024766934026,0.1443847867623559,291.95231559783593,0.3,0.52,0
398,Nazareth,Hair of the Dog,,0.339780914364145,0.11641947326258009,210.90646144459413,0.49,0.11200000000000002,0
399,David Bowie,Let's Dance,,0.41359137414683395,0.1417092246462036,286.97775624189535,0.52,0.176,0
400,Billy Idol,Eyes Without a Face,,0.407044669143413,0.13946612058743077,280.88565510631366,0.52,0.176,0
401,Lou Reed,Vicious,,0.4264987966855446,0.14613170769221667,307.7144805637882,0.5800000000000001,0.0,2
402,Oasis,Stand by Me,,0.4052962894431061,0.13886707150854524,287.01781697244377,0.52,0.0,1
403,ZZ Top,Rough Boy,,0.4026578060702273,0.13796304532138445,286.7623134593665,0.5,0.0,1
404,Billy Idol,Dancing with Myself,,0.4241057291115888,0.14531176856478492,308.99088272444516,0.5800000000000001,0.12799999999999997,0
405,The Rolling Stones,Emotional Rescue,,0.4174886849045295,0.1430445641145801,305.56005218470267,0.52,0.0,1
406,The Wonders,That Thing You Do,,0.45034014282372814,0.15430049187620282,338.6175788006653,0.54,0.0,4
407,Bush,Machinehead,,0.42869222387525946,0.14688324383586468,318.9867529250378,0.54,0.0,2
408,Cream,I Feel Free,,0.42034530391782676,0.1440233303335783,312.35085080051033,0.56,0.0,1
409,Simple Minds,Alive and Kicking,,0.3987950709733386,0.13663955254612303,291.86384028620216,0.56,0.0,1
410,Jefferson Airplane,Somebody to Love,,0.42007268305936274,0.1439299219771903,314.40175765678737,0.55,0.088,0
411,Supertramp,Breakfast in America,,0.40190750602120073,0.13770596926795153,296.7786143368517,0.48,0.0,1
