ID_Musica,Artista,Musica,Genero,Pais,prob_aparicao_raw,prob_aparicao,posicao_prevista,posicao_min,posicao_max,num_aparicoes_historicas,melhor_posicao_historica,posicao_media_historica,apareceu_ano_anterior,posicao_ano_anterior,frequencia_aparicao,streak_anos,anos_desde_primeira,aparicao_unica,forca_musica,anos_desde_ultima
Steve Winwood|||Higher Love|||NONE,Steve Winwood,Higher Love,Rock,Reino Unido,0.4870642615022397,0.036529819612667984,270,195,345,1,237,237.0,0,,0.043478260869565216,0,22,1,0,22
Level 42|||Something About You|||NONE,Level 42,Something About You,Pop,Reino Unido,0.4868143407304909,0.036511075554786825,339,264,414,1,462,462.0,0,,0.05,0,19,1,0,19
Uriah Heep|||Tears in My Eyes|||NONE,Uriah Heep,Tears in My Eyes,Hard rock,Reino Unido,0.486591954697036,0.036494396602277705,304,229,379,1,431,431.0,0,,0.1111111111111111,0,8,1,0,8
Simon & Garfunkel|||Bridge over Troubled Water|||NONE,Simon & Garfunkel,Bridge over Troubled Water,Folk rock,Estados Unidos,0.4864078467379016,0.03648058850534262,295,220,370,1,458,458.0,0,,0.04,0,24,1,0,24
"The Wallflowers|||""Heroes""|||NONE",The Wallflowers,"""Heroes""",Rock alternativo,Estados Unidos,0.48502525067083996,0.036376893800313004,303,228,378,1,274,274.0,0,,0.05263157894736842,0,18,1,0,18
Ozzy Osbourne|||Ordinary Man|||NONE,Ozzy Osbourne,Ordinary Man,Heavy metal,Reino Unido,0.40399582779951104,0.036359624501956,263,188,338,1,439,439.0,0,,0.2,0,4,1,0,4
The Sweet|||Block Buster!|||NONE,The Sweet,Block Buster!,Glam rock,Reino Unido,0.48443160048966577,0.03633237003672494,301,226,376,1,320,320.0,0,,0.043478260869565216,0,22,1,0,22
Ringo Starr|||After All These Years|||NONE,Ringo Starr,After All These Years,Rock,Reino Unido,0.4839531107613675,0.03629648330710257,295,220,370,1,267,267.0,0,,0.04,0,24,1,0,24
Pilot|||Magic|||NONE,Pilot,Magic,Rock,Reino Unido,0.4837505110229469,0.03628128832672103,296,221,371,1,311,311.0,0,,0.043478260869565216,0,22,1,0,22
The Mission|||Stay With Me|||NONE,The Mission,Stay With Me,Rock gótico,Reino Unido,0.4834958441354169,0.036262188310156276,275,200,350,1,449,449.0,0,,0.043478260869565216,0,22,1,0,22
The Velvet Underground|||Sunday Morning|||NONE,The Velvet Underground,Sunday Morning,Rock experimental,Estados Unidos,0.4831632898547803,0.036237246739108525,285,210,360,1,349,349.0,0,,0.05263157894736842,0,18,1,0,18
The Smashing Pumpkins|||Perfect|||NONE,The Smashing Pumpkins,Perfect,Rock alternativo,Estados Unidos,0.48235290826944927,0.0361764681202087,309,234,384,1,331,331.0,0,,0.058823529411764705,0,16,1,0,16
Paul McCartney|||Come On To Me|||NONE,Paul McCartney,Come On To Me,Rock,Reino Unido,0.48208861737538455,0.03615664630315385,290,215,365,1,362,362.0,0,,0.14285714285714285,0,6,1,0,6
AC/DC|||Shot in the Dark|||NONE,AC/DC,Shot in the Dark,Hard rock,Austrália,0.4017338180257106,0.03615604362231396,310,235,385,1,432,432.0,0,,0.2,0,4,1,0,4
Elton John|||Your Song|||NONE,Elton John,Your Song,Pop,Reino Unido,0.4816335113291521,0.036122513349686414,236,161,311,1,447,447.0,0,,0.04,0,24,1,0,24
Stone Temple Pilots|||Creep|||NONE,Stone Temple Pilots,Creep,Grunge,Estados Unidos,0.48158951392648564,0.036119213544486425,322,247,397,1,468,468.0,0,,0.05555555555555555,0,17,1,0,17
"Blood, Sweat & Tears|||And When I Die|||NONE","Blood, Sweat & Tears",And When I Die,Jazz fusion,Estados Unidos,0.48138733031823705,0.03610404977386778,266,191,341,1,368,368.0,0,,0.04,0,24,1,0,24
Wilson Pickett|||In the Midnight Hour|||NONE,Wilson Pickett,In the Midnight Hour,Soul,Estados Unidos,0.4807904383363229,0.036059282875224224,273,198,348,1,262,262.0,0,,0.04,0,24,1,0,24
Greta Van Fleet|||The Cold Wind|||NONE,Greta Van Fleet,The Cold Wind,Hard rock,Estados Unidos,0.48033506840014395,0.0360251301300108,289,214,364,1,462,462.0,0,,0.16666666666666666,0,5,1,0,5
